Title,Date
"The Witcher: Temporada 2: La semilla de la verdad","23/12/21"
"tick, tick...BOOM!","16/12/21"
"Divergente","12/12/21"
"Leal","12/12/21"
"Anónima","11/12/21"
"Peaky Blinders: Temporada 1: Episodio 1","03/12/21"
"Academia del Chocolate: Temporada 1: Rompe el molde y dobla el chocolate","03/12/21"
"Arcane: Temporada 1: ¡Feliz Día del Progreso!","19/11/21"
"Arcane: Temporada 1: La violencia bruta es necesaria para el cambio","19/11/21"
"Arcane: Temporada 1: Algunos misterios están mejor sin resolver","19/11/21"
"Arcane: Temporada 1: ¡Bienvenidos!","19/11/21"
"Alerta roja","13/11/21"
"El manual de juego: Temporada 1: Doc Rivers: Lecciones de vida de un entrenador","12/11/21"
"Anne with an E: Temporada 1: Su voluntad va a decidir su destino","12/11/21"
"Miraculous: Las aventuras de Ladybug: Temporada 1: La princesa Fragancia","08/11/21"
"Miraculous: Las aventuras de Ladybug: Temporada 1: El Mimo","08/11/21"
"Miraculous: Las aventuras de Ladybug: Temporada 1: Quiebratiempo","08/11/21"
"You: Temporada 2: Amigos son los amigos","08/11/21"
"You: Temporada 2: Solo la puntita","07/11/21"
"You: Temporada 2: Borrón y cuenta nueva","07/11/21"
"You: Temporada 1: El castillo de Barba Azul","07/11/21"
"You: Temporada 1: Candace","07/11/21"
"Las chicas Gilmore: Temporada 4: Secuelas de una generación","05/11/21"
"Las chicas Gilmore: Temporada 4: Tic, tic, tic, ¡bum!","05/11/21"
"Las chicas Gilmore: Temporada 4: Chicas en bikini","05/11/21"
"Miraculous: Las aventuras de Ladybug: Temporada 1: Clima Tempestuoso","05/11/21"
"Miraculous: Las aventuras de Ladybug: Temporada 1: Horrificadora","05/11/21"
"Miraculous: Las aventuras de Ladybug: Temporada 1: Cupido Negro","05/11/21"
"Miraculous: Las aventuras de Ladybug: Temporada 1: Lady Wifi","05/11/21"
"Las chicas Gilmore: Temporada 4: La reina Lorelai","05/11/21"
"Miraculous: Las aventuras de Ladybug: Temporada 1: Burbujeo","04/11/21"
"Miraculous: Las aventuras de Ladybug: Temporada 1: Animan","04/11/21"
"Miraculous: Las aventuras de Ladybug: Temporada 1: Orígenes (Parte 2)","04/11/21"
"Miraculous: Las aventuras de Ladybug: Temporada 1: Orígenes (Parte 1)","04/11/21"
"Las chicas Gilmore: Temporada 4: Escena en un centro comercial","03/11/21"
"Las chicas Gilmore: Temporada 4: Las Lorelais deprimidas","01/11/21"
"Las chicas Gilmore: Temporada 4: Los evangelios gnósticos se encontraron en Nag Hammadi","01/11/21"
"Las chicas Gilmore: Temporada 4: Un asunto familiar","01/11/21"
"Las chicas Gilmore: Temporada 4: Estruendo y clamor","01/11/21"
"Las chicas Gilmore: Temporada 4: La niñera y el profesor","01/11/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 2: Timetagger","01/11/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 1: Aguafiestas","01/11/21"
"Shrek: Para siempre el capítulo final","01/11/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 2: Cat Blanc","01/11/21"
"Miraculous: Las aventuras de Ladybug: Temporada 3: Parte 1: Oblivio","01/11/21"
"Yo soy Betty, la fea: Temporada 1: Episodio 1","31/10/21"
"Las chicas Gilmore: Temporada 4: La gran noche de Ted Koppel","31/10/21"
"Locke & Key: Temporada 2: El estreno","29/10/21"
"Las chicas Gilmore: Temporada 4: Muérete, idiota","29/10/21"
"Las chicas Gilmore: Temporada 4: El festival de arte viviente","24/10/21"
"Las chicas Gilmore: Temporada 4: Un asunto para recordar","24/10/21"
"Shrek","23/10/21"
"Las chicas Gilmore: Temporada 4: Tócala otra vez, Sam","22/10/21"
"Las chicas Gilmore: Temporada 4: ¿Pollo o carne?","22/10/21"
"Las chicas Gilmore: Temporada 4: El hobbit, el sofá y Digger Stiles","22/10/21"
"Las chicas Gilmore: Temporada 4: El primer día de Lorelai en Yale","22/10/21"
"Las chicas Gilmore: Temporada 4: Salones de baile y biscochos","22/10/21"
"Las chicas Gilmore: Temporada 3: Esas son cuerdas, Pinocho","22/10/21"
"Las chicas Gilmore: Temporada 3: La llegada del hijo","22/10/21"
"Las chicas Gilmore: Temporada 3: Buenas noches","22/10/21"
"Las chicas Gilmore: Temporada 3: Más cerveza","22/10/21"
"Las chicas Gilmore: Temporada 3: ¡Feliz cumpleaños!","21/10/21"
"Las chicas Gilmore: Temporada 3: Poemas e incendio","21/10/21"
"Las chicas Gilmore: Temporada 3: La respuesta","18/10/21"
"Las chicas Gilmore: Temporada 3: A cara descubierta","18/10/21"
"El club de la pelea","18/10/21"
"Matrix: Revoluciones","08/10/21"
"Breaking Bad: Temporada 2: Mandala","08/10/21"
"Yo, adolescente","07/10/21"
"Anatomía según Grey: Temporada 17: Todas las fiestas del mañana","06/10/21"
"Anatomía según Grey: Temporada 15: Con asombro y un deseo loco","06/10/21"
"You: Temporada 1: Soy tuyo","06/10/21"
"You: Temporada 1: Todalidad","06/10/21"
"Skins: Vol. 2: Sid","04/10/21"
"Skins: Vol. 2: Sketch","04/10/21"
"Modern Family: Temporada 2: Desconectados","03/10/21"
"Skins: Vol. 2: Tony y Maxxie","01/10/21"
"Amor 101: Temporada 1: Ese primer momento","28/09/21"
"El juego del calamar: Temporada 1: Un día de suerte","26/09/21"
"El juego del calamar: Temporada 1: El líder","25/09/21"
"El juego del calamar: Temporada 1: Los VIP","25/09/21"
"El juego del calamar: Temporada 1: Gganbu","25/09/21"
"El juego del calamar: Temporada 1: Un mundo justo","25/09/21"
"El juego del calamar: Temporada 1: No abandones el equipo","25/09/21"
"El juego del calamar: Temporada 1: El hombre del paraguas","24/09/21"
"Ozark: Temporada 1: Azucarada","24/09/21"
"El juego del calamar: Temporada 1: Infierno","23/09/21"
"Sex Education: Temporada 3: Episodio 8","22/09/21"
"Sex Education: Temporada 3: Episodio 7","22/09/21"
"Sex Education: Temporada 3: Episodio 6","21/09/21"
"Sex Education: Temporada 3: Episodio 5","21/09/21"
"Schumacher","20/09/21"
"Sex Education: Temporada 3: Episodio 4","20/09/21"
"Sex Education: Temporada 3: Episodio 3","19/09/21"
"Sex Education: Temporada 3: Episodio 2","19/09/21"
"Sex Education: Temporada 3: Episodio 1","19/09/21"
"Modern Family: Temporada 2: Extraños en la caminadora","04/09/21"
"La casa de papel: Parte 5: El final del camino","04/09/21"
"Escuadrón pastelero: Temporada 1: Cumpleaños doble","18/08/21"
"Skins: Vol. 1: Todos","13/08/21"
"Skins: Vol. 1: Effy","13/08/21"
"Skins: Vol. 1: Michelle","11/08/21"
"Skins: Vol. 1: Sid","11/08/21"
"Skins: Vol. 1: Maxxie y Anwar","11/08/21"
"Somos una ola: Temporada 1: ¿Conoces esa sensación?","10/08/21"
"Glow Up: Temporada 1: Prótesis de cine","09/08/21"
"Glow Up: Temporada 1: Editorial de belleza","09/08/21"
"Drama total: Total Drama Island: Cacería de venados con paintball","09/08/21"
"Hongos fantásticos","09/08/21"
"Tatuaje rehecho: Temporada 1: Apuestas picantes","09/08/21"
"Skins: Vol. 1: Chris","08/08/21"
"Skins: Vol. 1: Jal","06/08/21"
"Skins: Vol. 1: Cassie","06/08/21"
"Skins: Vol. 1: Tony","06/08/21"
"Control Z: Temporada 2: La última venganza","05/08/21"
"Control Z: Temporada 2: Control Z","05/08/21"
"Control Z: Temporada 2: Un minuto de silencio","05/08/21"
"Control Z: Temporada 2: Nuevos placeres","05/08/21"
"Control Z: Temporada 2: Nada que esconder","05/08/21"
"Control Z: Temporada 2: Necesidades","05/08/21"
"Control Z: Temporada 2: El Regreso","04/08/21"
"Control Z: Temporada 2: No se puede enterrar el pasado","04/08/21"
"Modern Family: Temporada 2: Terremoto","03/08/21"
"Modern Family: Temporada 2: El beso","03/08/21"
"Modern Family: Temporada 2: La carcacha","03/08/21"
"Modern Family: Temporada 1: Retrato familiar","03/08/21"
"Modern Family: Temporada 1: Hawái","03/08/21"
"Modern Family: Temporada 1: Aeropuerto 2010","03/08/21"
"Modern Family: Temporada 1: Viaje con Scout","03/08/21"
"Outer Banks: Temporada 2: El oro","03/08/21"
"Jóvenes altezas: Temporada 1: Episodio 6","02/08/21"
"Jóvenes altezas: Temporada 1: Episodio 5","02/08/21"
"Tatuaje rehecho: Temporada 1: ¿Quién está listo para ver unos tatuajes horribles?","02/08/21"
"Jóvenes altezas: Temporada 1: Episodio 4","30/07/21"
"Jóvenes altezas: Temporada 1: Episodio 3","30/07/21"
"Jóvenes altezas: Temporada 1: Episodio 2","28/07/21"
"Jóvenes altezas: Temporada 1: Episodio 1","28/07/21"
"Modern Family: Temporada 1: En la banca","25/07/21"
"Modern Family: Temporada 1: Cambio de juego","25/07/21"
"El increíble castillo vagabundo","24/07/21"
"Mi vecino Totoro","20/07/21"
"El sexo, en pocas palabras: Miniserie: Anticonceptivos","17/07/21"
"El mundo secreto de Arrietty","16/07/21"
"Yo nunca: Temporada 2: ... hice una fiesta","15/07/21"
"Yo nunca: Temporada 2: ... jugué a dos puntas","15/07/21"
"Somos.: Temporada 1: La manada floja","14/07/21"
